variable,AOR,CI_lower,CI_upper,p_value,model,cohort,phenotype
AIDS,0.7364355623652143,0.5553656757901118,0.9765409731967915,0.03359683678097993,base,aou_v7,Two-step (HIV+OI)
HIV,1.0489613833333526,0.7220672152357084,1.5238470332231295,0.8019048276438882,base_no_aids,aou_v7,HIV alone
