Variable,"Cases (N=139,472)","Controls (N=557,882)",SMD
Enrollment date (ordinal),"737,425 (737,425–737,456)","737,425 (737,425–737,425)",0.022
Number of diagnoses,49 (32–76),49 (32–76),-0.009
Coverage span (days),"1,094 (638–1,460)","1,095 (669–1,460)",-0.023
